,Run,K,M,J,a,b,eig1,eig2
329,3,10,10,60,0.01357637177558951,0.006387417800262444,93,99
330,3,10,20,10,0.013418146008474309,0.012061412486173304,158,188
331,3,10,20,20,0.010376493324463864,0.008384337343619116,174,194
332,3,10,20,30,0.009166357488411978,0.006772744386453879,179,196
333,3,10,20,40,0.008549111836615352,0.005904280175735376,181,196
334,3,10,20,50,0.008081850897862383,0.005222502635201111,182,196
335,3,10,20,60,0.007784955738442023,0.004777842657901165,183,197
336,3,10,30,10,0.010592603878635587,0.00987016928267485,214,265
337,3,10,30,20,0.007876781569267058,0.006806598989179057,250,287
338,3,10,30,30,0.006993015444876307,0.005711095664562171,261,291
339,3,10,30,40,0.006355860252809749,0.004860462313613275,266,292
340,3,10,30,50,0.005960993641059602,0.004315562740996572,269,293
341,3,10,30,60,0.005637138201293275,0.0038548903988872255,272,294
342,3,10,40,10,0.00909500290914762,0.008611664111582306,258,328
343,3,10,40,20,0.006610469628595645,0.005943582906901618,318,376
344,3,10,40,30,0.00571687671936466,0.004882926245997214,338,384
345,3,10,40,40,0.005206522900610328,0.004235150675140969,348,388
346,3,10,40,50,0.004862486496944952,0.003777973477335971,353,389
347,3,10,40,60,0.004579767917095188,0.003390703361342394,357,391
348,3,10,50,10,0.008277521844731472,0.007896725200491886,290,372
349,3,10,50,20,0.005899583772026503,0.005457758989764286,378,459
350,3,10,50,30,0.0049595163732610165,0.004378392782863576,411,476
351,3,10,50,40,0.004464451535617796,0.0037709555126185725,426,481
352,3,10,50,50,0.004170437239210392,0.003396876511060308,434,485
353,3,10,50,60,0.0039045031094412175,0.0030445007602613815,441,486
354,3,10,60,10,0.007635867349099889,0.007258771291875875,311,396
355,3,10,60,20,0.0053035090039849995,0.004968156179324041,432,534
356,3,10,60,30,0.004446403669094064,0.004016325438696981,478,563
357,3,10,60,40,0.003978291796955757,0.003462915540004159,499,573
358,3,10,60,50,0.00365635705434201,0.0030625022773630834,513,578
359,3,10,60,60,0.003448308126809472,0.002795696744817353,521,581
360,3,40,10,10,0.008006467735398724,0.007521329206870938,290,359
361,3,40,10,20,0.005874372478602295,0.005082838246312218,336,384
362,3,40,10,30,0.005270447383983068,0.00433142839848758,350,389
363,3,40,10,40,0.004751928802046374,0.0036319094595955305,355,390
364,3,40,10,50,0.004456466313471398,0.003222488448173093,359,391
365,3,40,10,60,0.004219273909221426,0.0028821953807411657,362,392
366,3,40,20,10,0.005586907038274693,0.00537569532675873,439,567
367,3,40,20,20,0.003912421213647328,0.00366997314706645,588,722
368,3,40,20,30,0.00332377523796452,0.0030102129376168556,643,753
369,3,40,20,40,0.002986868687448442,0.002610121558421479,670,766
370,3,40,20,50,0.0027300036625091365,0.0022859812788668665,688,772
371,3,40,20,60,0.002561341712055205,0.0020678048020248995,698,775
372,3,40,30,10,0.004771935863066441,0.00456655328056593,505,639
373,3,40,30,20,0.003194762152061238,0.0030660690715967162,762,976
374,3,40,30,30,0.0026264867869295245,0.002469252047079981,879,1082
375,3,40,30,40,0.002327501856053991,0.0021390389066104952,945,1122
376,3,40,30,50,0.0020908957014705207,0.0018580404432080502,983,1140
377,3,40,30,60,0.0019746040965935734,0.0017200161554990845,1007,1149
378,3,40,40,10,0.004340413225078184,0.004108124554637951,539,668
379,3,40,40,20,0.0027975361861984267,0.0026981780185886513,879,1136
380,3,40,40,30,0.0022644881098930706,0.002169679793260432,1072,1357
381,3,40,40,40,0.001972800304466165,0.0018586810575924012,1176,1444
382,3,40,40,50,0.001770262770917304,0.0016307116337110235,1243,1486
383,3,40,40,60,0.0016469873190878028,0.0014893533034110254,1288,1509
384,3,40,50,10,0.004121987085138444,0.003879790804114779,558,682
385,3,40,50,20,0.0025758079889526596,0.0024817793920173486,953,1223
386,3,40,50,30,0.002044970002270075,0.0019728148927118973,1207,1557
387,3,40,50,40,0.0017566726003203964,0.001677333454670366,1366,1722
388,3,40,50,50,0.0015696312236276378,0.0014759906036759583,1469,1803
389,3,40,50,60,0.0014444763616071779,0.0013376445310749753,1542,1850
390,3,40,60,10,0.0039079015523851264,0.003643003192751612,571,690
391,3,40,60,20,0.0024087704264875824,0.0023120001713888318,1008,1279
392,3,40,60,30,0.0018774730130255613,0.0018147651933253153,1318,1704
393,3,40,60,40,0.001603247350964917,0.0015424681940668372,1528,1956
394,3,40,60,50,0.0014342472157023605,0.0013667756843151126,1663,2088
395,3,40,60,60,0.0013133284500705064,0.0012364036597221015,1761,2163
396,3,100,10,10,0.0035267206891256672,0.0033415127831004894,662,831
397,3,100,10,20,0.0025875059676827373,0.0023208135106839232,805,942
398,3,100,10,30,0.00223305759580408,0.001887721289515971,848,961
399,3,100,10,40,0.00205342185006898,0.001658650331377243,869,969
400,3,100,10,50,0.001893430056960349,0.0014449463091406967,886,973
401,3,100,10,60,0.0017956600099218504,0.0013091271164372665,894,976
402,3,100,20,10,0.0025602056037917435,0.0024184491076969694,897,1111
403,3,100,20,20,0.0017840032461409322,0.0016967620578866372,1316,1656
404,3,100,20,30,0.001469999298157943,0.0013629591628691526,1510,1825
405,3,100,20,40,0.0012920528775053465,0.0011584033732308006,1604,1880
406,3,100,20,50,0.0011953168877503618,0.0010431579852469986,1659,1904
407,3,100,20,60,0.001126583170581676,0.0009590280185099232,1697,1921
408,3,100,30,10,0.0022114467294981083,0.0020471412367089664,978,1179
409,3,100,30,20,0.0014449645364263642,0.0013775297466628684,1620,2048
410,3,100,30,30,0.0011825685200467155,0.001123406861827945,1980,2492
411,3,100,30,40,0.0010297576661190643,0.0009622507222851743,2191,2682
412,3,100,30,50,0.0009311271799729462,0.0008532489289836912,2322,2771
413,3,100,30,60,0.0008674720514932943,0.0007802925759312247,2407,2818
414,3,100,40,10,0.0020568739220153806,0.0018797249419664392,1018,1209
415,3,100,40,20,0.0012829698785942361,0.0012158298632184246,1796,2229
416,3,100,40,30,0.0010327908113905077,0.000988987710438745,2296,2919
